Grupo,Identificacao,Cor,Principal_RGB,Comprimento_Onda_Medio_nm,Desvio_Padrao_nm,Incerteza_Expandida_nm,Erro_Padrao_Media_nm,Min_nm,Max_nm,Range_nm,Intensidade_Media,Intensidade_Desvio_Padrao,Coeficiente_Variacao_Intensidade_%,Intensidade_Min,Intensidade_Max,Num_Detecoes,Taxa_Deteccao_%
71,Grupo 71,Vermelho,Não,669.022057646221,1.4273192111794744,0.15083355301226634,0.07695589439401344,666.6467896,671.3430176000002,4.696228000000133,303.4563953488372,46.69925321164632,15.389114853869982,207.0,410.0,344,100.0
72,Grupo 72,Vermelho,Não,674.154423960822,1.5086392206742727,0.1547729402971191,0.07896578586587709,671.6561279000001,676.5629272,4.906799299999875,187.9808219178082,27.76999654508088,14.772781745375543,120.0,272.0,365,100.0
73,Grupo 73,Vermelho,Não,679.1680710120944,1.4435455283239165,0.15366915671081888,0.07840263097490759,676.6672974,681.5757446000001,4.908447200000069,129.90855457227138,19.828418222499057,15.26336605605754,78.0,184.0,339,100.0
74,Grupo 74,Vermelho,Não,683.993456664706,1.3955720497000252,0.14834362099356996,0.07568552091508672,681.6801758000001,686.3812866000001,4.701110799999924,99.66764705882353,15.385071502134872,15.436374747619608,56.0,152.0,340,100.0
75,Grupo 75,Vermelho,Não,689.2234607210382,1.530200150799812,0.15677029265978465,0.07998484319376768,686.6947021000001,691.6062012000001,4.9114991000000146,90.31693989071039,22.671642716988725,25.102314963752036,45.0,183.0,366,100.0
76,Grupo 76,Vermelho,Não,694.3844794868805,1.4717961531416743,0.15576026407177623,0.07946952248560012,691.8152466,696.6235352,4.808288599999969,79.88921282798835,17.08935838018457,21.39132152544817,34.0,156.0,343,100.0
77,Grupo 77,Vermelho,Não,699.415706566205,1.456299359228785,0.15022877600465362,0.07664733469625185,697.2507935000001,701.6420898,4.391296299999908,74.17174515235457,15.997860256275422,21.56867176768534,28.0,114.0,361,100.0
78,Grupo 78,Vermelho,Não,704.1725941629394,1.3037227344308207,0.14443390107337784,0.0736907658537642,701.7467041000001,706.4526978,4.705993699999908,69.06389776357827,13.640851405481893,19.751059304787123,29.0,108.0,313,100.0
79,Grupo 79,Vermelho,Não,708.8051435514045,1.4621467998253772,0.1518875057911524,0.07749362540364918,706.6618042,711.2641602,4.602355999999986,70.12640449438203,14.192173184962892,20.237987798304783,26.0,108.0,356,100.0
80,Grupo 80,Vermelho,Não,713.9391341632769,1.5018826213505696,0.15645535499898933,0.07982416071377006,711.6825562000001,716.3902588,4.707702599999834,66.36158192090396,14.669321779020418,22.105141791985474,18.0,109.0,354,100.0
81,Grupo 81,Vermelho,Não,719.1752935173134,1.4545318889108765,0.15576035019127665,0.07946956642412074,716.7041626,721.5172119000001,4.8130493000001024,63.4089552238806,13.259385234970976,20.91090318103416,24.0,109.0,335,100.0
82,Grupo 82,Vermelho,Não,724.2808573517443,1.509604379495483,0.15952913014743272,0.0813924133405269,721.7265015,726.6448975000001,4.91839600000003,67.04651162790698,16.589825802500123,24.743756833420232,22.0,110.0,344,100.0
83,Grupo 83,Vermelho,Não,729.118381393919,1.2776340723114101,0.14555150520315444,0.07426097204242574,726.7495117,731.0404053,4.290893600000004,57.21621621621622,13.582162050772,23.738308733045063,23.0,96.0,296,100.0
